Heartbeat done
Requested the message succesfully
ahrs AHRS2 {roll : 0.0001387715310556814, pitch : -4.0572776924818754e-05, yaw : -0.3456970155239105, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001406873925589025, pitch : -4.249618359608576e-05, yaw : -0.3456968665122986, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001424716174369678, pitch : -4.279238055460155e-05, yaw : -0.345698744058609, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001412498386343941, pitch : -4.410185283632018e-05, yaw : -0.34569820761680603, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014012938481755555, pitch : -4.247504330123775e-05, yaw : -0.34569793939590454, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014063015987630934, pitch : -4.1694460378494114e-05, yaw : -0.3457000255584717, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001396180159645155, pitch : -3.909619408659637e-05, yaw : -0.345700204372406, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013900503108743578, pitch : -3.777875463129021e-05, yaw : -0.34569892287254333, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013837183360010386, pitch : -3.553232818376273e-05, yaw : -0.3457006812095642, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013787909119855613, pitch : -3.377800021553412e-05, yaw : -0.3457011282444, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014081806875765324, pitch : -3.052851025131531e-05, yaw : -0.34570086002349854, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014485408610198647, pitch : -2.986461913678795e-05, yaw : -0.3457024395465851, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014935250510461628, pitch : -2.883883280446753e-05, yaw : -0.34570252895355225, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015299167716875672, pitch : -2.809799843817018e-05, yaw : -0.34570199251174927, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015746061399113387, pitch : -2.5764264137251303e-05, yaw : -0.3457043468952179, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00016010004037525505, pitch : -2.4440043489448726e-05, yaw : -0.3457043170928955, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015960558084771037, pitch : -2.4521377781638876e-05, yaw : -0.3457042872905731, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001609830214874819, pitch : -2.7143443730892614e-05, yaw : -0.34570735692977905, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00016216441872529685, pitch : -3.003988604177721e-05, yaw : -0.3457108736038208, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001642542047193274, pitch : -3.330894105602056e-05, yaw : -0.34571436047554016, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00016594865883234888, pitch : -3.569514592527412e-05, yaw : -0.3457173705101013, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.000164300377946347, pitch : -3.8717127608833835e-05, yaw : -0.3457163870334625, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00016367195348720998, pitch : -3.873423338518478e-05, yaw : -0.3457159399986267, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001626435696380213, pitch : -3.808525070780888e-05, yaw : -0.3457176089286804, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015964357589837164, pitch : -3.9333885069936514e-05, yaw : -0.3457176685333252, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.000157606671564281, pitch : -4.017428000224754e-05, yaw : -0.34571653604507446, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015597585297655314, pitch : -4.0088929381454363e-05, yaw : -0.34571781754493713, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001544428087072447, pitch : -4.232854917063378e-05, yaw : -0.3457169532775879, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001542851241538301, pitch : -4.06675499107223e-05, yaw : -0.3457159399986267, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001559822994749993, pitch : -3.9631257095607e-05, yaw : -0.34571573138237, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.000156368114403449, pitch : -3.9931263017933816e-05, yaw : -0.3457171320915222, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015594081196468323, pitch : -3.8699239667039365e-05, yaw : -0.3457161784172058, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015658672782592475, pitch : -3.974224455305375e-05, yaw : -0.3457184135913849, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001561764656798914, pitch : -3.978398672188632e-05, yaw : -0.3457182049751282, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015886891924310476, pitch : -3.879562427755445e-05, yaw : -0.34571781754493713, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.000158559501869604, pitch : -3.449600626481697e-05, yaw : -0.3457188904285431, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015836110105738044, pitch : -3.564294456737116e-05, yaw : -0.3457200229167938, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015961797907948494, pitch : -3.546687003108673e-05, yaw : -0.34571802616119385, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015957726282067597, pitch : -3.488274523988366e-05, yaw : -0.3457197844982147, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00016088411211967468, pitch : -3.436878978391178e-05, yaw : -0.34571871161460876, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001594159402884543, pitch : -3.4789136407198384e-05, yaw : -0.3457183539867401, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015690656437072903, pitch : -3.294310226920061e-05, yaw : -0.34572163224220276, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.000155949717736803, pitch : -3.4434255212545395e-05, yaw : -0.3457237482070923, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015509176591876894, pitch : -3.563742939149961e-05, yaw : -0.3457237482070923, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015555696154478937, pitch : -3.466871930868365e-05, yaw : -0.3457242250442505, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015554821584373713, pitch : -3.3248274121433496e-05, yaw : -0.34572097659111023, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001539856311865151, pitch : -3.0401773983612657e-05, yaw : -0.34571900963783264, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001508010900579393, pitch : -3.1870884413365275e-05, yaw : -0.34571927785873413, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015018747944850475, pitch : -3.136535451631062e-05, yaw : -0.3457191586494446, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014883319090586156, pitch : -2.877215956686996e-05, yaw : -0.34571945667266846, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014636426931247115, pitch : -2.6646732294466347e-05, yaw : -0.34571966528892517, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014497700612992048, pitch : -2.3868684365879744e-05, yaw : -0.3457198739051819, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014474238560069352, pitch : -2.5810448278207332e-05, yaw : -0.3457193076610565, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014534346701111645, pitch : -2.2298348994809203e-05, yaw : -0.3457176685333252, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014837544586043805, pitch : -2.3792455976945348e-05, yaw : -0.3457201421260834, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001488409616285935, pitch : -2.2194650227902457e-05, yaw : -0.34571942687034607, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014833286695647985, pitch : -2.234698331449181e-05, yaw : -0.3457193970680237, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015104966587387025, pitch : -2.2524691303260624e-05, yaw : -0.34571927785873413, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015424322918988764, pitch : -2.324184424651321e-05, yaw : -0.3457174301147461, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015573931159451604, pitch : -2.3657470592297614e-05, yaw : -0.3457181751728058, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015950785018503666, pitch : -2.5185257982229814e-05, yaw : -0.34571900963783264, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00016137174679897726, pitch : -2.572771700215526e-05, yaw : -0.345717191696167, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00016572388994973153, pitch : -2.5922650820575655e-05, yaw : -0.3457167446613312, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00017073852359317243, pitch : -2.624876651680097e-05, yaw : -0.3457169234752655, altitude : 0.0, lat : 0, lng : 0}
